"property1","property2","index","url"
"During a CNN interview Wednesday, Dr. Ben Carson proved once again why he should never be taken seriously outside the world of neurosurgery, where he rightfully occupies exalted status. Anchor Chris Cuomo asked the aspirant for the 2016 Republican presidential nomination about same-sex marriage. Carson gave his usual answer about how we should follow the Constitution and how homosexuality is nothing like race and how being gay or lesbian is a choice. But it was the example he used to illustrate his “choice” point that revealed how “Gifted Hands” has a deranged mind.","March 4","1","https://www.washingtonpost.com/blogs/post-partisan/wp/2015/03/04/ben-carsons-mental-prison-on-gays/"
"","2","https://www.washingtonpost.com/blogs/post-partisan/wp/2015/03/04/ben-carsons-mental-prison-on-gays/"
"Have you lifted yourself of the floor yet? I guess Carson figured the fruit analogy he used with Andrea Mitchell in 2013 wasn’t dumb enough. Invoking the violence of prison rape to blithely buttress his warped thinking about gay people is beneath contempt. Carson neither knows nor cares to know the real lives of LGBT people.","3","https://www.washingtonpost.com/blogs/post-partisan/wp/2015/03/04/ben-carsons-mental-prison-on-gays/"
"One other point. Of course, race and sexual orientation aren’t the same thing. But only the willfully blind and ignorant refuse to see that the quest for equality, dignity and equal protection as guaranteed by the Constitution is a shared struggle for civil rights by African Americans and their fellow LGBT Americans. That Carson can’t see this is further proof that he doesn’t deserve to be the chief defender of our sacred founding document as president of the United States.","4","https://www.washingtonpost.com/blogs/post-partisan/wp/2015/03/04/ben-carsons-mental-prison-on-gays/"
"Follow Jonathan on Twitter: @Capehartj","5","https://www.washingtonpost.com/blogs/post-partisan/wp/2015/03/04/ben-carsons-mental-prison-on-gays/"
"In GQ's profile of Ben Carson, the former neurosurgeon and potential 2016 presidential candidate called President Obama a ""psychopath.""","March 25","6","https://www.washingtonpost.com/news/the-fix/wp/2015/03/25/ben-carson-doesnt-really-know-what-a-psychopath-is/"
"Calling politicians you aren't fond of psychopaths feels like an unfortunately routine part of our political landscape today, but Carson did more than just name call. In the interview, he pointed to Obama's neat appearance as proof he's a psychopath (""That's why they're successful. That's the way they look. They all look great,"" he said.).","7","https://www.washingtonpost.com/news/the-fix/wp/2015/03/25/ben-carson-doesnt-really-know-what-a-psychopath-is/"
"Carson is a doctor, but I talked to some professionals to see whether they agreed with him.","8","https://www.washingtonpost.com/news/the-fix/wp/2015/03/25/ben-carson-doesnt-really-know-what-a-psychopath-is/"
"Lisa Kays, a licensed clinical social worker in Washington, said in a phone interview that to clinically be described as a psychopath, someone must show signs before age 15, and must meet three criteria from a list that includes things like deceitfulness, failure to plan ahead, consistent irresponsibility and a lack of remorse. There's also the possibility of anti-social behavior, increased risk of violence, failure to conform to social norms and saying things for shock value.","9","https://www.washingtonpost.com/news/the-fix/wp/2015/03/25/ben-carson-doesnt-really-know-what-a-psychopath-is/"
"""We don't see a whole lot of violence [in politicians],"" Kays said. ""They're not impulsive.""","10","https://www.washingtonpost.com/news/the-fix/wp/2015/03/25/ben-carson-doesnt-really-know-what-a-psychopath-is/"
"Psychologist Deborah Stokes, PhD, said there is the concept of ""the charming sociopath,"" which may be more of what Carson was going for in his description of Obama. ""They lure people in with their charisma,"" Stokes said. ""We see that with politicians, with cult figures and so forth,"" she said, and in politics, ""you have to be a little bit self-centered.""","11","https://www.washingtonpost.com/news/the-fix/wp/2015/03/25/ben-carson-doesnt-really-know-what-a-psychopath-is/"
"But — and try not to act too surprised — neither woman thinks Obama is actually clinically a psychopath.","12","https://www.washingtonpost.com/news/the-fix/wp/2015/03/25/ben-carson-doesnt-really-know-what-a-psychopath-is/"
"""I do think we toss this word around casually,"" Kays said. ""It certainly doesn't apply to everyone wearing a suit.""","13","https://www.washingtonpost.com/news/the-fix/wp/2015/03/25/ben-carson-doesnt-really-know-what-a-psychopath-is/"
"Seems Ben Carson misdiagnosed this one.","14","https://www.washingtonpost.com/news/the-fix/wp/2015/03/25/ben-carson-doesnt-really-know-what-a-psychopath-is/"
