"property1","property2","index","url"
"TEHRAN (The Borowitz Report)—Stating that “their continuing hostilities are a threat to world peace,” Iran has offered to mediate talks between congressional Republicans and President Obama.","March 10, 2015","1","http://www.newyorker.com/humor/borowitz-report/iran-offers-to-mediate-talks-between-republicans-and-obama"
"Iran’s Supreme Leader, Ali Khamenei, made the offer one day after Iran received what he called a “worrisome letter” from Republican leaders, which suggested to him that “the relationship between Republicans and Obama has deteriorated dangerously.”","2","http://www.newyorker.com/humor/borowitz-report/iran-offers-to-mediate-talks-between-republicans-and-obama"
"","3","http://www.newyorker.com/humor/borowitz-report/iran-offers-to-mediate-talks-between-republicans-and-obama"
"“Tensions between these two historic enemies have been high in recent years, but we believe they are now at a boiling point,” Khamenei said. “As a result, Iran feels it must offer itself as a peacemaker.”","4","http://www.newyorker.com/humor/borowitz-report/iran-offers-to-mediate-talks-between-republicans-and-obama"
"He said that his nation was the “logical choice” to jumpstart negotiations between Obama and the Republicans because “it has become clear that both sides currently talk more to Iran than to each other.”","5","http://www.newyorker.com/humor/borowitz-report/iran-offers-to-mediate-talks-between-republicans-and-obama"
"He invited Obama and the Republicans to meet in Tehran to hash out their differences and called on world powers to force the two bitter foes to the bargaining table, adding, “It is time to stop the madness.”","6","http://www.newyorker.com/humor/borowitz-report/iran-offers-to-mediate-talks-between-republicans-and-obama"
"Hours after Iran made its offer, President Obama said that he was willing to meet with his congressional adversaries under the auspices of Tehran, but questioned whether “any deal reached with Republicans is worth the paper it’s written on.”","7","http://www.newyorker.com/humor/borowitz-report/iran-offers-to-mediate-talks-between-republicans-and-obama"
"For their part, the Republicans said they would only agree to talks if there were no preconditions, such as recognizing President Obama’s existence.","8","http://www.newyorker.com/humor/borowitz-report/iran-offers-to-mediate-talks-between-republicans-and-obama"
"Get news satire from The Borowitz Report delivered to your inbox.","9","http://www.newyorker.com/humor/borowitz-report/iran-offers-to-mediate-talks-between-republicans-and-obama"
"Israeli Prime Minister Benjamin Netanyahu’s planned speech to Congress on Iran has been widely criticized, in Israel and in the United States. The unimportant criticism focusses on the way the event was concocted: House Speaker John Boehner and Ron Dermer, the Israeli Ambassador to the U.S., planned it in secret for weeks, then sprang it on the State Department and White House (which gave Dermer an opening to blame the Speaker’s office “for not notifying” the Administration). President Obama has declined to meet with Netanyahu; Secretary of State John Kerry has not condescended to meet with Dermer. The speech is scheduled for March 3rd, two weeks before the Israeli election, and will coincide with the yearly mega-conference of the American Israel Public Affairs Committee (AIPAC), where Netanyahu, as in past years, will be received as a champion.","February 4, 2015","10","http://www.newyorker.com/news/news-desk/netanyahu-republicans"
"","11","http://www.newyorker.com/news/news-desk/netanyahu-republicans"
