Date,Text_Score,Sentence_Score,Net_Score,Political_Contestent,News_Agency
1/29/2015,0.52,0.363636364,0.156363636,Hillary Clinton,New York Times
2/8/2015,0.123287671,0.426785714,0.303498043,Hillary Clinton,New York Times
2/11/2015,0.416666667,0.697916667,0.28125,Hillary Clinton,New York Times
2/13/2015,0.162162162,0,0,Hillary Clinton,New York Times
2/16/2015,0.627118644,0.235507246,0.391611398,Hillary Clinton,New York Times
2/18/2015,1.090909091,0.2,0.890909091,Hillary Clinton,New York Times
2/22/2015,0.379310345,0.466666667,0.087356322,Hillary Clinton,New York Times
2/22/2015,1.325,0.837121212,0.487878788,Hillary Clinton,New York Times
2/25/2015,0.571428571,0.409722222,0.161706349,Hillary Clinton,New York Times
2/25/2015,0.327272727,0.25,0.077272727,Hillary Clinton,New York Times
3/3/2015,0.047619048,-0.111111111,-0.158730159,Hillary Clinton,New York Times
3/4/2015,-0.25,-0.3,-0.05,Hillary Clinton,New York Times
3/4/2015,-0.117647059,-0.25,-0.132352941,Hillary Clinton,New York Times
3/4/2015,0.608695652,0.24,0.368695652,Hillary Clinton,New York Times
3/5/2015,0.3,0.416666667,0.116666667,Hillary Clinton,New York Times
3/5/2015,-0.125,-0.045238095,-0.079761905,Hillary Clinton,New York Times
3/5/2015,0.204545455,-0.438596491,-0.643141946,Hillary Clinton,New York Times
3/6/2015,0.833333333,0.514705882,0.318627451,Hillary Clinton,New York Times
3/8/2015,0.230769231,-0.033333333,-0.264102564,Hillary Clinton,New York Times
3/9/2015,-0.666666667,-0.388888889,-0.277777778,Hillary Clinton,New York Times
3/9/2015,-0.020833333,0.01,0.030833333,Hillary Clinton,New York Times
3/10/2015,0.555555556,1.357142857,0.801587302,Hillary Clinton,New York Times
3/10/2015,0.958333333,1.348958333,0.390625,Hillary Clinton,New York Times
3/10/2015,-0.833333333,0.714285714,1.547619048,Hillary Clinton,New York Times
3/11/2015,0,-0.458333333,-0.458333333,Hillary Clinton,New York Times
3/11/2015,0.157894737,0.166666667,0.00877193,Hillary Clinton,New York Times
3/11/2015,0.214285714,0.423076923,0.208791209,Hillary Clinton,New York Times
3/12/2015,0.446808511,-0.65,-1.096808511,Hillary Clinton,New York Times
3/12/2015,0.037037037,0.226190476,0.189153439,Hillary Clinton,New York Times
3/12/2015,0.344827586,0.833333333,0.488505747,Hillary Clinton,New York Times
3/13/2015,-0.12195122,-0.57,-0.44804878,Hillary Clinton,New York Times
3/14/2015,0.857142857,0.4,0.457142857,Hillary Clinton,New York Times
3/14/2015,-0.69047619,-0.760869565,-0.070393375,Hillary Clinton,New York Times
3/14/2015,-0.074074074,0.35,0.424074074,Hillary Clinton,New York Times
3/15/2015,0.833333333,0.476190476,0.357142857,Hillary Clinton,New York Times
3/20/2015,0.458333333,0.12962963,0.328703704,Hillary Clinton,New York Times
3/20/2015,0.736842105,0.017857143,0.718984962,Hillary Clinton,New York Times
3/20/2015,-0.236363636,0.345238095,0.581601732,Hillary Clinton,New York Times
3/23/2015,0,0,0,Hillary Clinton,New York Times
3/25/2015,0.5,0.528125,0.028125,Hillary Clinton,New York Times
3/28/2015,0.6875,-0.008333333,-0.695833333,Hillary Clinton,New York Times
3/29/2015,0.78125,0.551666667,0.229583333,Hillary Clinton,New York Times
3/30/2015,0.125,-0.166666667,-0.291666667,Hillary Clinton,New York Times
4/1/2015,0.341463415,0.447368421,0.105905006,Hillary Clinton,New York Times
4/1/2015,-0.068965517,0.185714286,0.254679803,Hillary Clinton,New York Times
4/2/2015,0.714285714,0.458333333,0.255952381,Hillary Clinton,New York Times
4/5/2015,0.52173913,0.525,0.00326087,Hillary Clinton,New York Times
4/11/2015,1.428571429,0.5,0.928571429,Hillary Clinton,New York Times
4/12/2015,0.295454545,-0.156862745,-0.452317291,Hillary Clinton,New York Times
