"property1","property2","index","url"
"In July, 1953, a former Communist named Manning Johnson testified before the House Un-American Activities Committee about the menacing implications of Bolshevism in American life. He warned that Communists had infiltrated civil-rights organizations, making it difficult to distinguish the movement for racial equality from the movement for centralization and wealth redistribution. The civil-rights movement was often accused of Communist subversion, so little about the appearance warranted particular notice, save for one fact: Johnson was African-American. Black critics howled accusations of racial betrayal, but Johnson was engaged in something subtly different and vastly more interesting: desegregating the American tradition of paranoia.","March 10, 2015","1","http://www.newyorker.com/news/news-desk/ben-carson-paranoid"
"","2","http://www.newyorker.com/news/news-desk/ben-carson-paranoid"
"It’s tempting to see Ben Carson—neurosurgeon, notable black success, conservative pundit, and coquettish potential Presidential candidate—as this election’s Herman Cain: the black conservative whose mere presence inoculates other Republicans from charges of racism as they attack Obama. The ability to provide that kind of racial cover may be part of the reason for Carson’s prominence in the party, but it’s not its overriding rationale. Instead, Carson is heir to the tradition of people like Manning Johnson and George Schuyler, the black conservative who defended Joseph McCarthy even after McCarthy’s fellow Senate Republicans rejected his conspiratorial canards. To the broad public, Carson’s crackpottery—his argument that the sexual behavior of prisoners proves that homosexuality is a choice, his contention that Obamacare is the biggest travesty to befall the nation since slavery, his theory that Obama may declare martial law and cancel the 2016 elections—disqualifies him from being taken seriously. But, for the small segment of the population that he is concerned with, those statements are assurances that they are not monochromatically white. Carson is a black representative and standard-bearer, not for conservatives but for paranoid Americans.","3","http://www.newyorker.com/news/news-desk/ben-carson-paranoid"
"Carson first attracted mainstream attention when, in February, 2013, he delivered the keynote speech at the National Prayer Breakfast, which he prefaced several times with warnings about his disdain for political correctness. Carson, as is his habit, opened with the impressive details of his personal biography: the impoverished childhood in a single-parent household, in Detroit; the moral values inculcated in him by his illiterate but fiercely protective mother; the against-the-odds success that validates his creed of hard work, godliness, and education. With President Obama seated just feet from him, he went on to warn of the dangers of the federal deficit, advocate a flat tax based upon Biblical tithing, and endorse private health-care accounts that would replace the Affordable Care Act.","4","http://www.newyorker.com/news/news-desk/ben-carson-paranoid"
"While Internet commentators hailed Carson’s speech for “wiping the smile off Obama’s face,” the President’s countenance would have been more aptly described as expressing a default neutrality. None of Carson’s comments marked him as exceedingly conservative; it wouldn’t be difficult to find Democrats who share those sentiments. In fact, Carson’s Booker T. Washington-esque prescriptions of personal virtue as a cure for poverty are almost identical to the arguments that Obama himself deploys when talking to black audiences. Nor do these admonishments encompass the entirety of Carson’s thinking on matters of race. The National Prayer Breakfast speech became the basis for his book “One Nation,” in which he criticizes racial profiling:","5","http://www.newyorker.com/news/news-desk/ben-carson-paranoid"
"Even with the false note of evenhandedness, in which Martin’s death is the product of shared racism, this marks a departure from the reactionary arguments made by other black conservatives, like Carol Swain, in which Martin was seen as essentially responsible for his own death. And, at the Conservative Political Action Conference last month, Carson urged congressional Republicans to create an alternate plan to insure health benefits for poor people before dismantling Obamacare. He is not among those who feel that the government has no role in insuring that the poor have access to health care.","6","http://www.newyorker.com/news/news-desk/ben-carson-paranoid"
"Yet if Carson is only moderately conservative, he’s radically paranoid. His rhetoric betrays a sweaty-palmed fixation on government power, and a fear that President Obama has made himself into an American Caesar. Those fears are most clearly manifested in his tendency toward hyperbolic comparison. From his somewhat nuanced take, in “One Nation,” on Trayvon Martin’s death, Carson goes on to argue that the liberal disdain for black conservatives is as pernicious as Jim Crow. At the Values Voter Summit in 2013, he compared the Affordable Care Act to slavery, and argued that both are mechanisms of government control. This is part of a world view in which homosexuality is a matter of volition and possibly a product of a willful, covert effort to subvert traditional values. This is why Carson is able to reconcile support of civil rights for African-Americans with their denial to gays and lesbians, as he stated on CNN last week. African-Americans are not, after all, black on purpose.","7","http://www.newyorker.com/news/news-desk/ben-carson-paranoid"
"The most relevant comparison for Carson isn’t to Cain but to Michele Bachmann, the last Presidential aspirant who, despite membership in a group with a history as targets of discrimination, came to represent the twitchy ideals of American panic. Carson has written of his youth, “Many of the whites in those days found ways to rationalize their unjust treatment of fellow human beings, arguing that they were not racists but rather protectors of traditional values.” Carson’s presence as a potential Presidential candidate represents a triumph, albeit a cynical one, over those rationalizations. He’s moved the country one step closer to that moment when we will be measured not by the color of our skin but by the content of our conspiracy theories.","8","http://www.newyorker.com/news/news-desk/ben-carson-paranoid"
"LOUISVILLE (The Borowitz Report)—With an official announcement on his campaign Web site, Senator Rand Paul (R-Kentucky) has joined a crowded field of people who will never be elected President in their lifetimes.","April 7, 2015","9","http://www.newyorker.com/humor/borowitz-report/rand-paul-joins-crowded-field-of-people-who-will-never-be-president"
"","10","http://www.newyorker.com/humor/borowitz-report/rand-paul-joins-crowded-field-of-people-who-will-never-be-president"
"While Paul and Senator Ted Cruz (R-Texas) are the only officially announced Republican candidates with a zero-per-cent chance of ever winning the Presidency, a burgeoning roster of totally pointless candidacies is waiting in the wings.","11","http://www.newyorker.com/humor/borowitz-report/rand-paul-joins-crowded-field-of-people-who-will-never-be-president"
"Former Texas Governor Rick Perry, former Arkansas Governor Mike Huckabee, former Pennsylvania Senator Rick Santorum, and neurosurgeon Ben Carson are just a few of the men thought to be considering squandering time and money pursuing an office that they will never occupy in a billion years.","12","http://www.newyorker.com/humor/borowitz-report/rand-paul-joins-crowded-field-of-people-who-will-never-be-president"
"On the Democratic side, only former Maryland Governor Martin O’Malley has stepped forward as someone who could only be elected to the White House in an alternate universe.","13","http://www.newyorker.com/humor/borowitz-report/rand-paul-joins-crowded-field-of-people-who-will-never-be-president"
"Minutes after his announcement, aides to Senator Paul said that they believed that he would emerge as the top choice of voters who are determined to waste their votes in 2016.","14","http://www.newyorker.com/humor/borowitz-report/rand-paul-joins-crowded-field-of-people-who-will-never-be-president"
"“There’s no one out there who has a more remote chance of being elected, unless Trump decides to run,” one aide said.","15","http://www.newyorker.com/humor/borowitz-report/rand-paul-joins-crowded-field-of-people-who-will-never-be-president"
"Get news satire from The Borowitz Report delivered to your inbox.","16","http://www.newyorker.com/humor/borowitz-report/rand-paul-joins-crowded-field-of-people-who-will-never-be-president"
"Whatever happened to Marco Rubio? In February, 2013, his picture appeared on the cover of Time magazine, accompanied by the headline “The Republican Savior.” At the time, many political analysts—Bill Clinton reportedly among them—viewed the Florida senator as a big threat to the Democrats in 2016. Now, following his announcement on Monday in Miami, he’s officially in the race for the Republican nomination, but as a rank outsider. According to the Real Clear Politics polling average, just 7.5 per cent of likely Republican voters consider him their first-choice candidate. That puts him in seventh place, behind Jeb Bush, Scott Walker, Ted Cruz, Rand Paul, Ben Carson, and Mike Huckabee.","April 14, 2015","17","http://www.newyorker.com/news/john-cassidy/marco-rubio-and-the-three-strikes-theory-of-politics"
"Of course, it’s early in the process. Having gone all in, Rubio might get a boost, just as Cruz, the junior senator from Texas, has since he announced his candidacy last month. Right now, though, it’s hard to see how he could challenge the front-runners. Although Rubio was elected to the Senate in 2010 as part of the Tea Party wave, and although he still espouses extreme views on issues like climate change (he’s a skeptic) and same-sex marriage (he opposes it), many people in the conservative movement don’t view him as a true believer. In any case, the right-wing end of the Republican field is very crowded. Rubio’s best hope is probably to position himself as a center-right candidate and hope for a slipup on the part of Jeb Bush, his fellow Floridian.","18","http://www.newyorker.com/news/john-cassidy/marco-rubio-and-the-three-strikes-theory-of-politics"
"","19","http://www.newyorker.com/news/john-cassidy/marco-rubio-and-the-three-strikes-theory-of-politics"
